Name, glyph
guitars, 22592
ship, 22769
drone, 22823
wheelchair, 22826
bikehelmet, 22841
scooter, 22847
motorcycle, 22850
stroller, 22859
gaspump, 22892
engine, 22967
horn, 24917
lungs, 25109
thermometer, 25154
bandaid, 25163
facemask, 25172
injection, 25166
flask, 25214
testtubes, 25220
blood, 25223
medicine, 25229
teddy, 25397
laurel, 25421
whitetree, 25442
darktree, 25445
hanger, 25454
crown, 25457
baseballcap, 25469
shoes, 25523
dancestep, 25529
movieclapper, 25550
smileyface, 25568
sleepyeye, 25616
closedeye, 25628
nose, 25631
comb, 25637
mustache, 25646
lips, 25652
glasses, 25655
sunglasses, 25664
brains, 25667
brain, 25676
clapping, 25901
pinching, 25913
joystick, 26765
arrowkeys, 26900
playstation, 27251
nintendoswitch, 27269
xbox, 27254
coffee, 27287
hotcoffee, 27296
wineglass, 27311
birthcake, 27323
carrot, 27332
fork, 27335
knife, 27338
spoon, 27341
crush, 27353
expand, 27356
stretch, 27359
piechart, 27452
explosion, 27524
fingerprint, 27620
atomic, 27626
angle, 27635
seashell, 27650
money, 27689
radiation, 28067
life-preserver, 28070
3dspace, 29456
squareinfo, 29771
circleinfo, 29765
diamondquestion, 29828
tripleexclame, 29846
stopexclame, 29861
twoarrows, 31238
threearrows, 31241
merge, 31259
split, 31265
join, 31268
